,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
T_Ch_R1000,0.07751322034893557,0.2282455858941943,-0.024039119645608446,0.03574932782718193,0.10685967442216417,0.035500238780332316,0.1442402491781868,0.09155880218192439,-0.06543429386416189,-0.012715899332975015,0.17796530209415687,-0.059262518095054215
T_Ch_R1250,0.07383177341810258,0.22927775281067278,-0.06369573241743953,-0.003424683043887951,0.07988216811427537,-0.009568527092428213,0.13814003112419576,0.07931623259059763,-0.07768804605588359,0.04010396787749146,0.19129999342048368,-0.009752500729620197
M_CH_R250,0.06688883790566819,0.1358460796577617,0.1957871784644246,0.11270021836271484,-0.11847969120887075,0.02029336306530354,0.0730769596393795,0.034107587376602376,-0.03757064110336927,-0.05664641574729168,-0.10154872654631951,-0.15268158703141987
A_Ch_R250,0.06478936735031832,0.1111947588910147,0.20566263157503975,0.10810273245484303,-0.12131004987979359,0.010265456661292973,0.007401663544272287,0.0006565663534369979,-0.05810255631237169,-0.05547109896679441,-0.07215591311856173,-0.2017371668669275
T_Ch_R1500,0.06400948004590301,0.2284456048955137,-0.09145141705200747,-0.008417013820126292,0.07029584028077125,-0.04443329529733246,0.13333346970853485,0.07944233108783369,-0.045211840152727056,0.06664801052954342,0.1838797930447519,0.051269491665095396
T_Ch_R2000,0.05494895187852854,0.22717507404681964,-0.1325918644922439,0.030155068410406646,0.05076810154793925,-0.08458043609265653,0.09316622031595873,0.04276589430116622,-0.03467664067654141,0.058732395247031305,0.12103440235921069,0.035300747087782296
COMSTO,0.05039603640787749,-0.08788496614988894,-0.06460846902442831,-0.16391864975218967,0.0335160074310879,-0.002847463657747823,0.3098111495762386,-0.20624195047508848,0.2094608921799845,-0.12869957470512222,0.11240971756168186,-0.2189433708867063
LandUs,0.04205557492389813,-0.048776558381757845,-0.11097988676723296,-0.23269396767166692,0.07432748474882779,-0.00712869031208474,0.3282138103563509,-0.16423207293679237,0.09704101184590569,-0.11329744142551075,0.05764529304642102,-0.21590809673902803
T_Ch_R2500,0.040797755290733796,0.2224977359121536,-0.15355372877183013,0.0505140302222894,0.030006718923779874,-0.1464986952587834,0.05983989893384432,0.02796710923933536,-0.00046906181837904953,0.02259042813706308,0.03825027075363335,0.02600845455939162
T_Ch_R3000,0.030951960752667304,0.2105124540089775,-0.17096464366278902,0.0464948919256335,-0.0075053016973885365,-0.17261111336210183,0.037453751581079775,0.006551100733220869,0.026603777862703747,-0.00732682884183585,0.00047218318261812867,0.012562311502674924
T_Ch_R5000,0.02906728279485503,0.17659881325623342,-0.1843422820940806,0.05906883702308023,-0.03705964794341405,-0.2128147815989485,-0.04849064296336071,-0.04771974113583538,0.07112199073746235,0.057446466000749416,-0.1284903423667251,0.028064700893470212
INDUST,0.028361196521393996,0.07568966614254696,-0.11462284312297077,-0.2308141694939264,0.10967599647358997,-0.00870405447256288,0.1773371418350006,0.014116412839179748,-0.10939370097965381,-0.10823346836600084,-0.03278338457649828,0.0022160701477110523
