,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
T_Ch_R3500,0.10595905903994286,-0.0957680712481105,0.15679109598313676,-0.20367998148942457,-0.10009433751828598,-0.021540142718578285,-0.07527833990811425,0.03233430833773026,0.019899191313770756
T_Ch_R4000,0.105636728145976,-0.07336813532454345,0.16807410814487536,-0.21706952773937513,-0.07750562399707675,-0.02591642397647211,-0.07432758321291762,0.013408503037412362,0.018083607692563473
T_Ch_R500,0.10535922494271363,-0.19242114354853068,-0.013133762142431433,0.006315703685268571,0.07471301696666627,0.014801694944806536,0.07478842828409181,-0.1142383409655987,0.10781062730541174
T_Ch_R4500,0.10407610635061458,-0.06000182660660448,0.1797805169092406,-0.2109190296668567,-0.07176111058284558,-0.021496303010309716,-0.0781096681024551,0.01456922479747744,-0.003744166958671255
T_Ch_R2000,0.10368736357989607,-0.145627054066545,0.12544802247523745,-0.1740303427441339,-0.029970045735523507,0.004768967474305887,-0.04656380670536619,0.011523741472473696,0.04742494069266315
M_CH_R500,0.10255768650559344,-0.1738488515454889,-0.023782939833109883,0.08829807212197555,-0.017693094637234306,0.10247442415439169,0.17922260377825747,-0.09801457708715472,-0.07487848780480652
T_Ch_R1000,0.10198446327966869,-0.16324808953554537,0.11917329016758657,-0.10599539161653825,0.03138837109462358,0.06102897400056602,0.00601868567740717,-0.09741002145216565,0.09229406992688023
T_Ch_R1250,0.1017651898560473,-0.15412982169835115,0.11855079804337064,-0.13405091933285343,0.016464256923462157,0.049013332348278656,-0.024112627245897238,-0.048570312569109375,0.18041080575553028
T_Ch_R5000,0.0997413562866045,-0.05433816029846571,0.1834653149005395,-0.21380650129739548,-0.07495840889960517,-0.026183527057222405,-0.07774825381752137,-0.0002471644273917058,-0.022572994225855885
T_Ch_R3000,0.09567813559405401,-0.10685288630031216,0.16163980584031254,-0.2199845199615563,-0.06938497029928704,-0.006375551664725311,-0.05509948674756431,0.04586365153903265,0.02365285799116249
A_I_R250,0.09397749343364668,-0.14387818389866006,-0.04288546269459776,0.14789463880629417,-0.014666702187670706,-0.07758436697684949,-0.08927386631833069,-0.13917213609187878,0.006002495072078962
M_CH_R250,0.09015552454858347,-0.1586581229344395,-0.11270889212844076,0.06091236883444521,0.08851914193015242,0.14060725305354568,-0.001129429520102783,-0.1855930776445967,0.09682097791904117
A_Ch_RN,0.08826849414260172,0.008162308633430183,-0.0836417805961691,-0.10441377156542099,0.03888748241741912,0.001716994424275006,0.17971898146901374,-0.17322360793380126,-0.2007547279669611
T_Ch_R250,0.0833134567268394,-0.15900373452931146,-0.11488842949296671,0.04344122626965759,0.10520622390615686,0.10588621702648933,-0.02869233577601553,-0.2087693374539889,0.15963637791690957
M_MD_R250,0.0736692578363991,0.07415820826668972,0.07389776609145461,0.019328426400239802,-0.11457354420699367,-0.24535176091349262,0.18811935109830982,-0.13708307295787286,0.17482126551822097
PUBINST,0.06989611696057066,0.05704068111015603,-0.1534731098349975,-0.0849148873643271,0.2577020015826465,-0.006701177578565458,-0.18370271068675623,0.0018946850553993864,0.29486359949568053
CONTVTY,0.0646154310325396,0.016089384356995085,-0.01832659122347168,-0.18181944535952024,0.07559519400117158,0.30625630149707656,0.036328701805199974,0.3859580942636186,-0.028673053631443676
A_Ch_R250,0.06234561922836041,-0.14959453042048523,-0.12271589234767068,0.06196743172227871,0.12312825373864687,0.18686579217819424,-0.03973531307663034,-0.2218192210236523,0.05444709754227291
M_MD_R3000,0.04769452778246877,0.009062767966745326,-0.18198454488490304,-0.11365944958208216,0.09532247406483634,0.06416843571707928,-0.019164756151075872,0.036060067309721534,-0.39038677176345266
M_MD_R3500,0.03960802557302944,-0.10132683073497561,-0.2475140963354804,-0.06238101869265477,-0.06386633456290809,0.009054366256667494,-0.12472688727160892,0.05913351467075819,-0.1847754780984233
T_Ch_RN,0.031448645319049506,0.10242982124952464,0.23302596140919343,-0.024549144395360312,0.09404492407572447,-0.04655687512996378,-0.09635636237454852,-0.15722409549109073,-0.18354422689561284
A_CONTVTY,0.02138175386677549,0.017064308559631414,-0.014911294814132111,-0.13091417201374417,0.06082328071745301,0.3846740666098758,0.07800472008891093,0.4341807494453823,0.04185440239205621
M_MD_R4000,0.015801609773307607,-0.11939457122938886,-0.24168623413675333,-0.08494295042055204,-0.029400619956188673,-0.025139451599827837,-0.13381947767100882,0.06731357959930666,-0.14452230797663285
M_MD_R1500,0.005996210601760906,0.2245645838430437,0.03745376113396031,-0.028411431933114947,0.01532273469945194,0.17879488111872213,0.010859653839391161,-0.15316432655917078,-0.018745861403192763
M_MD_R2000,0.0033596734044315027,0.17278296639695925,0.14627066815942272,-0.034319502004441456,-0.06573449754140206,0.16656309723606072,0.16307410564446412,-0.12138903882464286,-0.05496482949125391
LandUs,0.0010186199906471937,0.002894115061224614,0.11100390756428771,0.02479259461508733,0.4676426260749317,-0.006684395972213669,0.03196006075124477,0.10484761610323587,0.053775126957091274
BANKOFF,2.3547205949305904e-17,2.781227731430672e-17,-3.639638416794957e-17,1.888555228208362e-17,-1.7177160164239228e-17,9.4643405657564e-17,-3.3025575135892285e-17,1.1943744149618184e-17,-2.7174237649436883e-17
INDUST,-2.0480345369896344e-17,1.3233437086249996e-17,-4.2610698257952677e-17,-5.280491976552732e-18,-1.6440441818345285e-17,-2.4135433963555838e-17,-7.600231356625214e-17,-6.520931911932217e-17,-1.281062093742136e-17
COMCEN,-2.4147710644893637e-17,4.243597529467666e-17,5.612954343097724e-17,1.673039447330116e-17,7.698668172222014e-17,-1.3736036447570095e-17,5.623106440540248e-18,2.292904656486386e-17,1.2415684705540552e-16
Park,-8.438787682455272e-17,-1.2057628600379597e-18,1.718859510793954e-17,4.098617866401876e-17,-5.2374886496254286e-17,-4.681992602571442e-17,4.474232555270216e-17,-1.085307604690425e-16,1.2539687370190312e-16
M_MD_R2500,-0.010332040638306787,0.1996936512801872,0.054798843861872205,-0.05105677600241233,0.01874074016197326,0.09249222139832726,0.10739335745349113,-0.1431449588484908,-0.11629104160331029
CULSPOR,-0.011468308965809174,-0.045937489666768125,0.115427339085096,0.05807073318607771,0.3556462441354026,-0.16678776546074758,0.21238206968835438,0.15814561007297576,-0.045729903053528184
M_MD_R1000,-0.013127363417082542,0.1891074459403971,0.04360307614661104,-0.0795567089440921,0.1383116437110518,0.17835680808769439,-0.144727561823067,-0.1306788673191261,-0.13483205517104158
M_MD_R4500,-0.016219123287114265,-0.11991280904600327,-0.2077624296321863,-0.043887268393374215,0.07489567911022389,0.023725930066712413,-0.2697401209065473,-0.011524432636432774,-0.1317469187462417
M_MD_R1250,-0.016273947183994403,0.20222682419446658,0.03163619533903041,-0.04876570129198848,0.08186315634269893,0.14095594946057774,-0.09894600756699887,-0.19908582251460696,0.02030910423362607
COMSTO,-0.023935284173178518,0.033751881510140684,0.12339084015143942,0.03533780221306861,0.03305147983825487,0.30339705158517655,-0.13565840299887294,-0.006906958844752604,0.0609476655029762
EDUCAT,-0.0277386244274553,-0.01718622911160686,0.14821872329153077,0.03564517699281815,0.34687449315321284,-0.04671404381703208,0.09113399760773083,0.050746189028811256,-0.13367219440735065
POP_SEG,-0.0332848771352162,-0.02243012381834856,0.1317369159223755,0.02059003949479213,0.29627296027899896,-0.20940611178676585,0.21925035542013643,0.1446434866529364,0.03132315192060016
M_MD_R5000,-0.03338984654525327,-0.14787772113578912,-0.15374125403795552,-0.006323224051207735,0.10981745247415699,-0.03469767099869752,-0.3039446137247831,-0.002944308542848772,-0.06688739883485184
M_MD_R500,-0.03830225903130539,0.028316120503667688,0.1593129991307657,-0.0716240909138605,-0.14964016510349695,-0.19416604442018906,-0.012819262823269542,0.1030094685798947,-0.24180642079742118
M_MD_R750,-0.0386717555098649,0.1154619157141731,0.13469459806043366,-0.1456976403592675,0.13607869698220354,0.01631887508267075,-0.1410215013837247,-0.10194576795733547,-0.16989438345122393
M_MD_RN,-0.12765652713974326,-0.12165721087885693,-0.015779296815502716,-0.060843341307799004,0.04257544804110016,-0.14183786743404492,-0.18024636444127606,0.03493303338878261,-0.2394600676655061
