,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
T_Ch_R4500,0.07409182977306115,0.09630097283341155,-0.1886243027779737,0.22695721967067287,0.004065001195576319,0.05522588226853328,0.06612067711000474,0.011334591995099483,-0.05418886888429492,-0.09742325119672356,0.00974602945371619,-0.04116992283864566,-0.13623058650718936,0.08608115635828617,0.05006018921730781,-0.011907733186333204
T_Ch_R5000,0.06763217255870213,0.09261062813307447,-0.19330622597397934,0.21852809931009315,-0.0005098396621984402,0.06445228330021456,0.07005138572659321,0.013642067523206269,-0.05632954845570685,-0.11901656779221913,0.012658946482579033,-0.033226708085612566,-0.16585498190536718,0.08577050785765558,0.06116480654134526,-0.01507306256640327
CONTVTY,0.018369716503084534,-0.05145459341781948,0.07383608559600639,0.04451784033892481,0.13139406658310707,-0.02769969023959995,-0.08130385143128091,0.2297765047301036,-0.4233758505461633,-0.022728945980548546,0.41685503928407064,-0.06277012906226173,0.14880899014671742,0.007926975946483339,0.02702320426207766,0.11205382361743493
M_MD_R500,0.014743790670239381,-0.060554738162281775,-0.1589727172731773,0.017588571561960368,0.09615775943481343,-0.18499180530666032,-0.1977701983760003,-0.22453794891259318,0.0408121298723899,0.059867432524827804,-0.10141133120165476,-0.033687456434627436,0.07314434473926668,0.2737433394255104,-0.04222467407703139,-0.08969762323582667
INDUST,0.00941510624345626,-0.05556623514129777,0.020410786435211853,0.10554739456460549,0.27239012729589385,0.024707872157514382,-0.147551608884483,-0.0040453453763787395,0.22875647052925407,-0.055364508344659544,0.031922926914980485,0.06521563599695653,-0.07857466438818647,-0.19507504460331887,-0.19582806668041913,0.07426353881507065
M_MD_R250,-0.004394250565613314,-0.09166752602634991,-0.048463991918343025,0.061741891983178615,0.1374102927384568,0.07898911447427112,-0.0589720373341994,-0.0951806975253294,0.07298506087499218,0.221938251730801,0.2885419928673412,-0.20303540652153432,-0.09743800045556422,0.23192203464615713,-0.2169225696269466,-0.29702263463379325
COMSTO,-0.007174665459178664,-0.08365797095121245,0.039789317228622535,0.05060942900737239,0.31855700987375873,0.1707401500629297,-0.12022494301363343,0.16831669195610016,0.10709844482333683,-0.051584948778697404,-0.07816521764399303,0.2450261126060063,-0.016523101295822608,0.11081922559854694,-0.13660061516073124,0.04618367807636423
T_Ch_RN,-0.013305877445210525,0.023997546128160525,-0.1403880766042921,0.040812674029172456,-0.02478390071234062,0.048924976117181426,-0.060811447841815774,0.0938593250949088,-0.02897415139066636,-0.29088266671713914,0.014395659192807374,-0.1260839995412249,-0.46129069304423526,-0.1771222577943711,0.10822981602732618,-0.1364008755372439
Park,-0.014159829496381874,-0.03595331156391366,0.011611535305036447,0.029153088759194423,0.11530289312234865,0.17205772849580872,-0.09101672910087052,0.23690708131515592,0.17375750156766273,-0.1272007673508538,-0.11167360541325294,-0.348567495052815,0.26302570910423206,-0.060066074989768486,0.06462678775384087,0.0621048754098039
EDUCAT,-0.014206712685312067,0.06356095513191795,-0.025496138092276993,-0.03223801343034166,0.08622934215447353,0.03827199595314884,0.013249229184258462,-0.09919914099671179,-0.015502283122383408,0.39991640264594835,0.02910163027702411,-0.0648302707794669,-0.09334440139983638,-0.09015634165091205,0.3808756117902542,0.5280685370468473
