,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
A_Ch_R1000,0.1552559569630457,0.08976702589583595,0.004116837845418199,-0.0942724751489394,0.0032559189196784684,-0.10710331937223386,0.06709132499293124,-0.07369683159130357,0.0024834126753864624,-0.10349124810335993,0.052023963706781126
M_CH_R4000,0.15492279014832008,-0.08800920423546384,-0.016272256121339593,-0.007672264975017421,0.12572631282472121,-0.10397070280676116,-0.0528676130704119,0.017281041916948094,0.06909097280690471,0.12608469786123427,-0.03019918365215535
M_CH_R1250,0.15418965273653515,0.08116455850885257,0.05666193859783173,-0.043601179479621624,0.03493935577332692,-0.16215054441318752,0.07069017652264908,-0.08531483553947002,0.01872943326248878,-0.12413403140041981,0.023121870108900783
M_CH_R4500,0.15195283620964062,-0.09864155342529038,-0.025865111642446797,-0.000734880532098367,0.13402472479844865,-0.07182858389808566,-0.050268680337072116,0.028133166049230454,0.07298816083323113,0.13891480840048814,-0.024816418572564995
A_I_R500,0.150848939754999,0.11004739396838749,-0.051550026733993747,0.010041934415496757,-0.037027476186031194,0.0421330602271406,-0.11207046549751931,-0.05611670362008258,-0.08139720612358375,-0.030422794504878517,-0.011424108912424628
A_Ch_R3500,0.1507874857782947,-0.09345577477815536,-0.07968883824126917,-0.012506541229802319,0.13257721877695744,0.07142333336678947,0.005302269876691894,0.0845219882775622,-0.02680804754469386,0.060115368569583806,0.05668112822042415
M_CH_R5000,0.14934715021668296,-0.10491030444531643,-0.03432199767612672,0.004068286506662734,0.13870845305157636,-0.04269788888106642,-0.04032251748323799,0.03363614936196195,0.07670168241619454,0.14777274398711848,-0.01882779724712131
M_CH_R1000,0.1479064845426795,0.1018738864754011,0.06520015262707778,-0.045010733332514076,0.01129778519155255,-0.14314337963709975,0.07635104819007875,-0.09607472743679435,0.001103346740231828,-0.12976535788503119,0.0400774822741782
A_Ch_R750,0.14603238323222167,0.11758059824279618,0.0349407683960456,-0.06565492038404713,-0.03467267529999832,-0.10965156195308803,0.016984983563816506,-0.07740415375434341,-0.010887328723457709,-0.12456715160348786,0.05302716883250913
A_I_R2000,0.14602576514364418,-0.09650812799092387,-0.0901101251007118,0.05305082276475867,-0.1014161358142457,0.11219743575896496,0.03108484615734758,-0.11557465415761221,0.0271426596150939,-0.03571361416469923,-0.0671016386017071
A_Ch_R4000,0.14320333327120052,-0.106546295817804,-0.08453973277710267,0.0050510715126780405,0.13404789137900824,0.08453514709350825,-0.0191311495845013,0.12602948217305482,-0.019279243339498885,0.06002545762914134,0.07967637908109965
M_CH_R750,0.1404912359982023,0.12139917486930146,0.07790615774122561,-0.03820803186290811,-0.023863185973981595,-0.1178110961103754,0.054021509270349745,-0.09273828634261368,-0.046183087887692306,-0.11767347653513166,0.0633554189251923
M_CH_RN,0.13900535768342964,-0.1099268193357753,-0.07694384611778819,-0.014358572542543583,0.13312540258216848,0.01011549118724384,-0.019532683376671727,0.0378944531592835,0.07816040600990837,0.1516918352218781,-0.01769043976625958
